date,city_name,product_id,product_name,category,total_orders,total_sales,stock_quantity,instock_darkstores,OOS_darkstores,total_darkstores
9/26/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,0,0,239,134,24,158
9/1/2025,hyderabad,SKU6,Mild Baby Laundry Detergent,Hygiene,14,4956,165,74,5,79
9/12/2025,chennai,SKU6,Mild Baby Laundry Detergent,Hygiene,1,503,55,41,13,54
9/22/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,11,3839,285,145,13,158
9/21/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,11,3839,228,134,24,158
9/11/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,13,6539,250,150,8,158
9/19/2025,delhi,SKU6,Mild Baby Laundry Detergent,Hygiene,17,5933,142,83,65,148
9/9/2025,delhi,SKU6,Mild Baby Laundry Detergent,Hygiene,18,9018,150,92,56,148
9/16/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,22,7678,231,144,14,158
9/26/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,0,0,240,65,29,94
9/22/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,5,1745,48,33,61,94
9/5/2025,bangalore,SKU6,Mild Baby Laundry Detergent,Hygiene,11,3894,234,152,6,158
9/9/2025,mumbai,SKU6,Mild Baby Laundry Detergent,Hygiene,6,3018,88,48,46,94
9/10/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,11,1001,101,51,3,54
9/10/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,6,546,103,49,30,79
9/3/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,11,979,84,45,49,94
9/13/2025,mumbai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,5,455,37,26,68,94
9/23/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,10,780,142,54,0,54
9/4/2025,hyderabad,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,21,1869,186,70,9,79
9/21/2025,chennai,SKU4,Tooth & Gum Cleaning Finger Baby Toothbrush,Oral & Nasal Care,4,364,106,43,11,54
9/3/2025,bangalore,SKU5,Nail Clipper,Hygiene,15,2715,407,153,5,158
9/16/2025,mumbai,SKU5,Nail Clipper,Hygiene,13,2236,136,75,19,94
9/19/2025,delhi,SKU5,Nail Clipper,Hygiene,6,1008,152,104,44,148
9/9/2025,delhi,SKU5,Nail Clipper,Hygiene,17,3162,189,128,20,148
9/2/2025,chennai,SKU5,Nail Clipper,Hygiene,4,724,133,50,4,54
9/7/2025,mumbai,SKU5,Nail Clipper,Hygiene,21,3801,152,88,6,94
9/19/2025,chennai,SKU5,Nail Clipper,Hygiene,3,504,49,21,33,54
9/13/2025,delhi,SKU5,Nail Clipper,Hygiene,19,3382,183,129,19,148
9/13/2025,chennai,SKU5,Nail Clipper,Hygiene,2,356,74,35,19,54
9/26/2025,chennai,SKU5,Nail Clipper,Hygiene,0,0,169,53,1,54
9/4/2025,delhi,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,24,4440,276,132,16,148
9/8/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,26,4914,346,147,11,158
9/26/2025,mumbai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,0,0,210,82,12,94
9/21/2025,bangalore,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,12,2232,356,141,17,158
9/12/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,20,3780,175,62,17,79
9/2/2025,delhi,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,24,4440,271,134,14,148
9/14/2025,chennai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,8,1560,128,52,2,54
9/6/2025,delhi,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,34,6290,273,133,15,148
9/11/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,15,2835,119,53,26,79
9/19/2025,delhi,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,10,1860,158,94,54,148
9/3/2025,mumbai,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,10,1860,120,69,25,94
9/26/2025,hyderabad,SKU7,Baby Bottle & Nipple Brush,Feeding Essentials,0,0,268,75,4,79
9/13/2025,mumbai,SKU10,Anti-Bacterial Baby Liquid Cleanser,Hygiene,11,2189,112,64,30,94
9/25/2025,delhi,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,28,5068,180,101,47,148
9/26/2025,bangalore,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,0,0,291,141,17,158
9/24/2025,hyderabad,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,9,1629,95,47,32,79
9/8/2025,hyderabad,SKU9,Anti-Bacterial Baby Liquid Cleanser (Refill),Hygiene,2,460,61,37,42,79
9/1/2025,hyderabad,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,53,10653,345,75,4,79
9/24/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,87,17313,921,157,1,158
9/4/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,39,7839,235,72,22,94
9/2/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,22,4422,120,49,5,54
9/6/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,14,2814,59,24,30,54
9/8/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,44,9020,186,62,32,94
9/1/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,28,5628,92,36,18,54
9/10/2025,hyderabad,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,12,2460,80,28,51,79
9/16/2025,hyderabad,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,64,12736,239,68,11,79
9/16/2025,chennai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,47,9353,190,49,5,54
9/26/2025,bangalore,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,0,0,817,150,8,158
9/11/2025,mumbai,SKU2,Caring Baby Wipes with Aloe Vera - Pack of 3,Baby Wipes,55,11275,158,73,21,94
9/15/2025,chennai,SKU1,Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free,Baby Wipes,0,0,0,0,54,54
