Product Name,Product Image URL,Product ID,Stock Availability,Sponsored,MRP,Selling Price,Product Position
Lay's India's Magic Masala Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/9bca09e2-4dca-469a-92e9-85334b237f62.jpg",07878a63-2656-4618-a7cc-ecfe8c2faf22,True,True,20,19,2
Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1201-1201,pr-true,f-auto,q-80/cms/product_variant/18d65ee5-151d-4013-ae71-91a5e591346b.jpeg",70bda37d-7f15-4189-b90c-e16dc170d950,True,True,20,19,3
Lay's American Cream & Onion Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/23c94259-5668-472a-8f52-2ac4c3dbd48e.jpg",a221968b-7cf1-4af7-adfd-40b8b19360ce,True,True,30,29,4
Lay's Potato Chips - Chile Lemon Flavour,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/06a3175f-e88f-43dd-a2be-b98401a8d5f4.jpg",7ffb904c-6169-46a2-9c9f-bdfc287572c7,True,True,20,19,5
Lay's Spanish Tomato Tango Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/8a5775f4-2964-493e-819b-17f790d691d6.jpeg",64cfe3fd-d3f1-431f-9655-d57c3a38e1d4,True,True,20,19,6
Lay's Classic Salted Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/b3c6d501-b257-4994-8ec8-02a855744e84.jpg",12cdefc2-c4c6-4a74-8b63-cefd3e293a3c,True,True,20,19,7
Lay's Potato Chips - Sizzling Hot Spicy Flavour,"https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b5a4f229-15f3-40c8-b5ad-2e647c474697.jpg",918d66a3-516f-4650-ba60-661c9f91bbb0,True,True,20,19,8
Lay's Wafer Chips Red Chilli,"https://cdn.zeptonow.com/production/tr:w-403,ar-1200-1553,pr-true,f-auto,q-80/cms/product_variant/3f57ff54-9317-4de0-985e-0404c1d84cfb.jpeg",5297a83c-77c0-4bf8-970a-947a7caabf85,True,True,20,19,9
Lay's Classic Salted Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/595808a8-7204-4b09-b167-631ebd3815f7.jpeg",351db1e6-d693-4a28-88a8-2d59e864f67a,True,True,30,29,10
Lay's Spanish Tomato Tango Potato Chips,"https://cdn.zeptonow.com/production/tr:w-403,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/91fc5039-3745-4b71-bdd8-96d160c20217.jpeg",6daad06f-a509-40a4-b6eb-4c684abf3183,True,True,30,29,11
